scenario,grouped_region,year,Bcm,Tcf,EJ
historical,USA,2010,604,21.33005861,21.74317901
historical,USA,2021,969,34.21991191,34.88268288
IEA-STEPS,USA,2030,1063,37.53949057,38.26655511
IEA-STEPS,USA,2050,784,27.68669859,28.22293435
IEA-APS,USA,2030,913,32.24229058,32.866759
IEA-APS,USA,2050,364,12.85453863,13.10350523
historical,Can.+Mex.,2010,207,7.31013598,7.451718635
historical,Can.+Mex.,2021,220,7.769226646,7.919700964
IEA-STEPS,Can.+Mex.,2030,220,7.769226646,7.919700964
IEA-STEPS,Can.+Mex.,2050,234,8.263631978,8.423681935
IEA-APS,Can.+Mex.,2030,185,6.533213316,6.659748538
IEA-APS,Can.+Mex.,2050,121,4.273074655,4.35583553
historical,LAC,2010,160,5.650345995,5.759781851
historical,LAC,2021,151,5.332514033,5.435794121
IEA-STEPS,LAC,2030,149,5.261884708,5.363796848
IEA-STEPS,LAC,2050,195,6.886359182,7.01973413
IEA-APS,LAC,2030,133,4.696850109,4.787818663
IEA-APS,LAC,2050,95,3.354892935,3.419870474
historical,Europe,2010,341,12.0423013,12.27553649
historical,Europe,2021,239,8.440205311,8.603675138
IEA-STEPS,Europe,2030,247,8.722722643,8.891664264
IEA-STEPS,Europe,2050,208,7.345450647,7.487717275
IEA-APS,Europe,2030,177,6.250695983,6.371759412
IEA-APS,Europe,2050,65,2.295453327,2.339911649
historical,Africa,2010,203,7.168877314,7.307724072
historical,Africa,2021,265,9.358386642,9.539639798
IEA-STEPS,Africa,2030,313,11.05349064,11.26757455
IEA-STEPS,Africa,2050,369,13.03111197,13.28349844
IEA-APS,Africa,2030,285,10.06467997,10.25961261
IEA-APS,Africa,2050,239,8.440205311,8.603675138
historical,Middle East,2010,463,16.35069062,16.66737067
historical,Middle East,2021,660,23.30767994,23.75910289
IEA-STEPS,Middle East,2030,853,30.12341059,30.70684056
IEA-STEPS,Middle East,2050,1030,36.37410657,37.07859997
IEA-APS,Middle East,2030,798,28.18110392,28.72691532
IEA-APS,Middle East,2050,690,24.36711993,24.83906212
historical,Russia,2010,657,23.20173594,23.65110697
historical,Russia,2021,793,28.00453059,28.54692211
IEA-STEPS,Russia,2030,633,22.35418394,22.78713959
IEA-STEPS,Russia,2050,612,21.61257594,22.03116814
IEA-APS,Russia,2030,584,20.62376528,21.0232062
IEA-APS,Russia,2050,483,17.05698395,17.38734348
historical,rest of Eurasia,2010,150,5.297199986,5.399796112
historical,rest of Eurasia,2021,205,7.239506647,7.379721353
IEA-STEPS,rest of Eurasia,2030,198,6.992303981,7.127730868
IEA-STEPS,rest of Eurasia,2050,245,8.65209331,8.819666983
IEA-APS,rest of Eurasia,2030,167,5.897549318,6.011773005
IEA-APS,rest of Eurasia,2050,171,6.038807984,6.155767568
historical,Australia_NZ,2010,53,1.871677328,1.90792796
historical,Australia_NZ,2021,151,5.332514652,5.435794753
IEA-STEPS,Australia_NZ,2030,165,5.826919984,5.939775723
IEA-STEPS,Australia_NZ,2050,150,5.297199986,5.399796112
IEA-APS,Australia_NZ,2030,154,5.438458652,5.543790675
IEA-APS,Australia_NZ,2050,121,4.273074655,4.35583553
historical,China,2010,96,3.390207991,3.455869512
historical,China,2021,200,7.062933314,7.199728149
IEA-STEPS,China,2030,250,8.828666643,8.999660187
IEA-STEPS,China,2050,285,10.06467997,10.25961261
IEA-APS,China,2030,228,8.051743978,8.20769009
IEA-APS,China,2050,120,4.237759989,4.31983689
historical,India,2010,51,1.801047995,1.835930678
historical,India,2021,32,1.13006933,1.151956504
IEA-STEPS,India,2030,48,1.695103995,1.727934756
IEA-STEPS,India,2050,78,2.754543993,2.807893978
IEA-APS,India,2030,47,1.659789329,1.691936115
IEA-APS,India,2050,53,1.871677328,1.90792796
historical,rest of Asia,2010,289,10.20593864,10.40360718
historical,rest of Asia,2021,264,9.323071975,9.503641157
IEA-STEPS,rest of Asia,2030,231,8.157687978,8.315686012
IEA-STEPS,rest of Asia,2050,174,6.144751984,6.26376349
IEA-APS,rest of Asia,2030,206,7.274821314,7.415719994
IEA-APS,rest of Asia,2050,139,4.908738654,5.003811064
