scenario,year,Bcm,Tcf,EJ
historical,2020,4027,142.2121623,144.9665263
IEA-STEPS,2030,4372,154.3957223,157.3860573
IEA-STEPS,2050,4357,153.8660023,156.8460777
IEA-APS,2030,3874,136.8090183,139.4587343
IEA-APS,2050,2661,93.97232775,95.79238303
IEA-NZE,2030,3300,116.5383997,118.7955145
IEA-NZE,2050,1200,42.37759989,43.1983689
IEEJ-REF,2030,4641,163.8953676,167.0696917
IEEJ-REF,2050,5855,206.7673728,210.7720416
IEEJ-ATS,2030,4426,156.3027142,159.3299839
IEEJ-ATS,2050,4588,162.0236902,165.1617637
